# Note - You may enter notes about your run here. They will be displayed every time this log is loaded.
# Saved Wednesday July 07 2021
# To calculate the rpm of your motor: take the Motor_RPM and divide by the number of motor poles / 2
LogSession_ID,Log_Frequency,Drive_Voltage,Drive_Current,Drive_Power,Temperature,Input_Throttle,Output_Throttle,Motor_RPM,Power_Consumption
52,8,29.53,3.90,115.17,87.80,1173,12.00,11580,1.50
52,8,29.53,3.90,115.17,87.80,1193,15.00,12180,1.51
52,8,29.53,3.97,117.23,87.80,1200,15.00,12180,1.51
52,8,29.53,4.05,119.60,87.80,1206,16.00,12780,1.52
52,8,29.53,4.11,121.37,87.80,1215,18.00,12780,1.52
52,8,29.50,4.22,124.49,87.80,1229,19.00,13380,1.52
52,8,29.46,4.34,127.86,87.80,1228,19.00,14580,1.53
52,8,29.44,4.32,127.18,87.80,1228,19.00,14580,1.53
52,8,29.45,4.26,125.46,87.80,1230,19.00,15240,1.53
52,8,29.47,4.24,124.95,87.80,1231,20.00,14580,1.54
52,8,29.49,4.24,125.04,87.80,1230,19.00,15240,1.54
52,8,29.50,4.25,125.38,87.80,1231,20.00,15240,1.54
52,8,29.50,4.25,125.38,87.80,1228,19.00,15240,1.55
52,8,29.51,4.23,124.83,87.80,1230,19.00,15240,1.55
52,8,29.53,4.21,124.32,87.80,1224,19.00,15240,1.56
52,8,29.53,4.20,124.03,87.80,1230,19.00,15240,1.56
52,8,29.53,4.22,124.62,87.80,1230,19.00,15240,1.56
52,8,29.53,4.25,125.50,87.80,1232,20.00,15840,1.57
52,8,29.53,4.24,125.21,87.80,1230,19.00,15240,1.57
52,8,29.53,4.24,125.21,87.80,1231,20.00,15240,1.57
52,8,29.53,4.26,125.80,87.80,1230,19.00,15840,1.58
52,8,29.53,4.23,124.91,87.80,1231,20.00,15840,1.58
52,8,29.53,4.23,124.91,87.80,1233,20.00,15240,1.59
52,8,29.53,4.25,125.50,87.80,1232,20.00,15840,1.59
52,8,29.53,4.25,125.50,87.80,1232,20.00,15240,1.59
52,8,29.53,4.26,125.80,87.80,1230,19.00,15240,1.60
52,8,29.53,4.24,125.21,87.80,1233,20.00,15840,1.60
52,8,29.53,4.24,125.21,87.80,1233,20.00,15840,1.60
52,8,29.53,4.27,126.09,87.80,1230,19.00,15840,1.61
52,8,29.53,4.25,125.50,87.80,1232,20.00,15840,1.61
52,8,29.53,4.25,125.50,87.80,1231,20.00,15240,1.61
52,8,29.53,4.25,125.50,87.80,1232,20.00,15840,1.62
52,8,29.53,4.26,125.80,87.80,1232,20.00,15240,1.62
52,8,29.53,4.26,125.80,87.80,1233,20.00,15840,1.63
52,8,29.54,4.27,126.14,87.80,1232,20.00,15840,1.63
52,8,29.56,4.26,125.93,87.80,1233,20.00,15840,1.63
52,8,29.53,5.01,147.95,87.80,1299,27.00,17640,1.64
52,8,29.48,5.82,171.57,87.80,1300,27.00,19500,1.64
52,8,29.46,5.46,160.85,87.80,1296,27.00,20100,1.65
52,8,29.50,5.14,151.63,87.80,1297,27.00,20100,1.65
52,8,29.53,4.99,147.35,87.80,1297,27.00,20700,1.66
52,8,29.53,4.99,147.35,87.80,1299,27.00,20100,1.66
